abs,1,2,3,4,5,6,7,8,9,10,11,12
A,0.46,0.45900000000000002,0.45500000000000002,0.153,0.154,0.151,0.30399999999999999,0.30199999999999999,0.30499999999999999,0.157,0.157,0.159
B,0.14399999999999999,0.14099999999999999,0.14199999999999999,0.13500000000000001,0.13,0.13400000000000001,0.28899999999999998,0.28999999999999998,0.28799999999999998,0.19500000000000001,0.19500000000000001,0.19600000000000001
C,0.23899999999999999,0.245,0.24099999999999999,0.17899999999999999,0.17899999999999999,0.17699999999999999,0.30199999999999999,0.30299999999999999,0.30399999999999999,0.17199999999999999,0.17299999999999999,0.17499999999999999
D,0.33800000000000002,0.34,0.34100000000000003,0.22800000000000001,0.22600000000000001,0.22800000000000001,0.29599999999999999,0.29599999999999999,0.29599999999999999,0.111,0.113,0.11
E,0.434,0.437,0.435,0.16600000000000001,0.16400000000000001,0.16400000000000001,0.27700000000000002,0.27800000000000002,0.27300000000000002,0.223,0.222,0.22700000000000001
F,3.5999999999999997E-2,3.5999999999999997E-2,3.6999999999999998E-2,0.153,0.158,0.155,0.28100000000000003,0.28399999999999997,0.28599999999999998,0.193,0.19500000000000001,0.19400000000000001
G,4.7E-2,4.7E-2,4.8000000000000001E-2,0.128,0.13,0.128,0.108,0.108,0.109,0.20499999999999999,0.20399999999999999,0.20699999999999999
H,0.17699999999999999,0.18099999999999999,0.18099999999999999,0.14499999999999999,0.14399999999999999,0.14399999999999999,0.124,0.124,0.126,4.9000000000000002E-2,4.9000000000000002E-2,5.3999999999999999E-2
,,,,,,,,,,,,
id,1,2,3,4,5,6,7,8,9,10,11,12
A,rgt_blank,rgt_blank,rgt_blank,463,463,463,471,471,471,479,479,479
B,0.005_M_std,0.005_M_std,0.005_M_std,464,464,464,472,472,472,480,480,480
C,0.01_M_std,0.01_M_std,0.01_M_std,465,465,465,473,473,473,481,481,481
D,0.015_M_std,0.015_M_std,0.015_M_std,466,466,466,474,474,474,482,482,482
E,0.02_M_std,0.02_M_std,0.02_M_std,467,467,467,475,475,475,483,483,483
F,ddi_blank,ddi_blank,ddi_blank,468,468,468,476,476,476,484,484,484
G,,,,469,469,469,477,477,477,485,485,485
H,462,462,462,470,470,470,478,478,478,,,
,,,,,,,,,,,,
bad_wells,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
