abs,1,2,3,4,5,6,7,8,9,10,11,12
A,0.45600000000000002,0.45600000000000002,0.45300000000000001,0.3,0.30199999999999999,0.30099999999999999,0.29099999999999998,0.28799999999999998,0.29299999999999998,0.26,0.26100000000000001,0.26600000000000001
B,0.13800000000000001,0.13800000000000001,0.14199999999999999,0.28799999999999998,0.28699999999999998,0.28799999999999998,0.32700000000000001,0.33700000000000002,0.33500000000000002,0.36699999999999999,0.36299999999999999,0.35499999999999998
C,0.23400000000000001,0.24399999999999999,0.23699999999999999,0.30399999999999999,0.30299999999999999,0.3,0.32300000000000001,0.32500000000000001,0.32800000000000001,0.21199999999999999,0.21299999999999999,0.215
D,0.33800000000000002,0.35,0.34699999999999998,0.20699999999999999,0.19600000000000001,0.19900000000000001,0.35299999999999998,0.35399999999999998,0.36099999999999999,0.18,0.17299999999999999,0.159
E,0.443,0.44700000000000001,0.44800000000000001,0.16500000000000001,0.16300000000000001,0.16300000000000001,0.34300000000000003,0.34200000000000003,0.33800000000000002,0.11,0.108,0.111
F,3.5999999999999997E-2,3.6999999999999998E-2,3.6999999999999998E-2,0.188,0.189,0.189,0.35099999999999998,0.35399999999999998,0.35699999999999998,0.29199999999999998,0.29499999999999998,0.29499999999999998
G,0.26300000000000001,0.26300000000000001,0.26200000000000001,0.27300000000000002,0.27600000000000002,0.27500000000000002,0.30199999999999999,0.30099999999999999,0.308,0.307,0.30499999999999999,0.307
H,0.3,0.30199999999999999,0.30599999999999999,0.25600000000000001,0.25600000000000001,0.25600000000000001,0.26400000000000001,0.26300000000000001,0.26500000000000001,0.309,0.316,0.313
,,,,,,,,,,,,
id,1,2,3,4,5,6,7,8,9,10,11,12
A,rgt_blank,rgt_blank,rgt_blank,390,390,390,398,398,398,406,406,406
B,0.005_M_std,0.005_M_std,0.005_M_std,391,391,391,399,399,399,407,407,407
C,0.01_M_std,0.01_M_std,0.01_M_std,392,392,392,400,400,400,408,408,408
D,0.015_M_std,0.015_M_std,0.015_M_std,393,393,393,401,401,401,409,409,409
E,0.02_M_std,0.02_M_std,0.02_M_std,394,394,394,402,402,402,410,410,410
F,ddi_blank,ddi_blank,ddi_blank,395,395,395,403,403,403,411,411,411
G,soil_std,soil_std,soil_std,396,396,396,404,404,404,412,412,412
H,389,389,389,397,397,397,405,405,405,413,413,413
,,,,,,,,,,,,
bad_wells,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
