abs,1,2,3,4,5,6,7,8,9,10,11,12
A,0.45,0.45700000000000002,0.45700000000000002,0.115,0.115,0.114,0.255,0.25800000000000001,0.25600000000000001,0.22,0.22,0.224
B,0.14199999999999999,0.14199999999999999,0.14000000000000001,0.10299999999999999,0.10199999999999999,0.10299999999999999,0.26200000000000001,0.26200000000000001,0.26600000000000001,0.30199999999999999,0.30399999999999999,0.30099999999999999
C,0.23899999999999999,0.24,0.23699999999999999,0.255,0.25700000000000001,0.25800000000000001,0.246,0.247,0.246,0.318,0.32,0.32400000000000001
D,0.33700000000000002,0.33600000000000002,0.33900000000000002,0.247,0.246,0.247,0.151,0.151,0.153,0.29599999999999999,0.29899999999999999,0.29799999999999999
E,0.42799999999999999,0.42899999999999999,0.42899999999999999,0.23899999999999999,0.23699999999999999,0.23599999999999999,0.156,0.159,0.157,0.309,0.311,0.311
F,3.9E-2,3.5999999999999997E-2,3.5000000000000003E-2,0.26800000000000002,0.26700000000000002,0.27,0.14599999999999999,0.14399999999999999,0.14599999999999999,0.312,0.313,0.312
G,0.248,0.247,0.249,0.28199999999999997,0.28100000000000003,0.28100000000000003,0.23799999999999999,0.23599999999999999,0.23499999999999999,0.30099999999999999,0.3,0.30299999999999999
H,0.11700000000000001,0.11700000000000001,0.11700000000000001,0.27800000000000002,0.27800000000000002,0.28199999999999997,0.23200000000000001,0.23599999999999999,0.23799999999999999,0.10199999999999999,0.10199999999999999,0.10299999999999999
,,,,,,,,,,,,
id,1,2,3,4,5,6,7,8,9,10,11,12
A,rgt_blank,rgt_blank,rgt_blank,487,487,487,345,345,345,353,353,353
B,0.005_M_std,0.005_M_std,0.005_M_std,488,488,488,346,346,346,354,354,354
C,0.01_M_std,0.01_M_std,0.01_M_std,339,339,339,347,347,347,355,355,355
D,0.015_M_std,0.015_M_std,0.015_M_std,340,340,340,348,348,348,356,356,356
E,0.02_M_std,0.02_M_std,0.02_M_std,341,341,341,349,349,349,357,357,357
F,ddi_blank,ddi_blank,ddi_blank,342,342,342,350,350,350,358,358,358
G,soil_std2,soil_std2,soil_std2,343,343,343,351,351,351,359,359,359
H,486,486,486,344,344,344,352,352,352,410_redo,410_redo,410_redo
,,,,,,,,,,,,
bad_wells,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
