plate_id,sample_id,mean_abs,sd_abs,cv_abs,slope,intercept,run_date,mass_kg,poxc_mg_kg
20210707_plate2,231,0.21066666666666667,0.0025166114784235852,1.1945940562137272,0.052437059927281884,2.865347919372603e-4,20210707,0.00254,614.1773326806158
20210707_plate2,232,0.07433333333333335,5.773502691896263e-4,0.7767043980129501,0.052437059927281884,2.865347919372603e-4,20210707,0.0025099999999999996,1134.189591882176
20210707_plate2,233,0.11433333333333333,5.773502691896263e-4,0.5049710809238714,0.052437059927281884,2.865347919372603e-4,20210707,0.0025,987.7076176591328
20210707_plate2,234,0.08866666666666666,5.773502691896263e-4,0.6511469201386764,0.052437059927281884,2.865347919372603e-4,20210707,0.00249,1088.9671730971384
20210707_plate2,235,0.049333333333333326,5.773502691896263e-4,1.1703045997087023,0.052437059927281884,2.865347919372603e-4,20210707,0.0025,1233.113058118812
20210707_plate2,236,0.08233333333333333,5.773502691896263e-4,0.7012351447647284,0.052437059927281884,2.865347919372603e-4,20210707,0.0025499999999999997,1086.78686640352
20210707_plate2,237,0.10666666666666665,0.0011547005383792527,1.0825317547305495,0.052437059927281884,2.865347919372603e-4,20210707,0.00249,1020.7358180110366
20210707_plate2,238,0.16366666666666668,0.0011547005383792527,0.7055196772174659,0.052437059927281884,2.865347919372603e-4,20210707,0.00249,804.669860238381
20210707_plate2,239,0.11566666666666665,0.0020816659994661343,1.7997112387315284,0.052437059927281884,2.865347919372603e-4,20210707,0.00248,990.5984474860018
20210707_plate2,240,0.15866666666666668,5.773502691896263e-4,0.36387622007749554,0.052437059927281884,2.865347919372603e-4,20210707,0.0024700000000000004,830.2920266915473
20210707_plate2,241,0.063,9.999999999999974e-4,1.587301587301583,0.052437059927281884,2.865347919372603e-4,20210707,0.00248,1191.0433378531923
20210707_plate2,242,0.056,0.0010000000000000009,1.7857142857142874,0.052437059927281884,2.865347919372603e-4,20210707,0.0025,1207.9432693537167
20210707_plate2,243,0.07033333333333334,5.773502691896263e-4,0.8208771599852507,0.052437059927281884,2.865347919372603e-4,20210707,0.00249,1158.4620717959458
20210707_plate2,244,0.20733333333333331,5.773502691896263e-4,0.27846476005930537,0.052437059927281884,2.865347919372603e-4,20210707,NA,NA
20210707_plate2,245,0.22266666666666668,0.0023094010767585054,1.0371561721969336,0.052437059927281884,2.865347919372603e-4,20210707,NA,NA
20210707_plate2,rgt_blank,0.3756666666666667,0.010692676621563606,2.8463203074259815,0.052437059927281884,2.865347919372603e-4,20210707,NA,NA
20210707_plate2,soil_std2,0.188,0.0010000000000000009,0.5319148936170218,0.052437059927281884,2.865347919372603e-4,20210707,0.00252,703.9498529809819
20210707_plate3,219_redo,0.01466666666666667,0.0037859388972001817,25.813219753637597,0.051781928608262195,4.693319200137491e-4,20210707,0.0025099999999999996,1346.1418178771767
20210707_plate3,246,0.2006666666666667,0.0035118845842842493,1.750108596819393,0.051781928608262195,4.693319200137491e-4,20210707,NA,NA
20210707_plate3,247,0.2016666666666667,0.0028867513459481316,1.431446948404032,0.051781928608262195,4.693319200137491e-4,20210707,NA,NA
