sample_id,site,treatment,position,replicate,date.coll,region
189,MW1,UD,B,3,20191114,MW
190,MW2,SH,A,1,20191120,MW
191,MW2,SH,A,2,20191120,MW
192,MW2,SH,A,3,20191120,MW
193,MW2,CV,A,1,20191120,MW
194,MW2,CV,A,2,20191120,MW
195,MW2,CV,A,3,20191120,MW
196,MW2,UD,A,1,20191120,MW
197,MW2,UD,A,2,20191120,MW
198,MW2,UD,A,3,20191120,MW
199,MW2,SH,B,1,20191120,MW
200,MW2,SH,B,2,20191120,MW
201,MW2,SH,B,3,20191120,MW
202,MW2,CV,B,1,20191120,MW
203,MW2,CV,B,2,20191120,MW
204,MW2,CV,B,3,20191120,MW
205,MW2,UD,B,1,20191120,MW
206,MW2,UD,B,2,20191120,MW
207,MW2,UD,B,3,20191120,MW
208,MW3,SH,A,1,20191120,MW
209,MW3,SH,A,2,20191120,MW
210,MW3,SH,A,3,20191120,MW
211,MW3,CV,A,1,20191120,MW
212,MW3,CV,A,2,20191120,MW
213,MW3,CV,A,3,20191120,MW
214,MW3,UD,A,1,20191120,MW
215,MW3,UD,A,2,20191120,MW
216,MW3,UD,A,3,20191120,MW
217,MW3,SH,B,1,20191120,MW
218,MW3,SH,B,2,20191120,MW
219,MW3,SH,B,3,20191120,MW
220,MW3,CV,B,1,20191120,MW
221,MW3,CV,B,2,20191120,MW
222,MW3,CV,B,3,20191120,MW
223,MW3,UD,B,1,20191120,MW
224,MW3,UD,B,2,20191120,MW
225,MW3,UD,B,3,20191120,MW
226,MW4,SH,A,1,20191114,MW
227,MW4,SH,A,2,20191114,MW
228,MW4,SH,A,3,20191114,MW
229,MW4,CV,A,1,20191114,MW
230,MW4,CV,A,2,20191114,MW
231,MW4,CV,A,3,20191114,MW
232,MW4,UD,A,1,20191114,MW
233,MW4,UD,A,2,20191114,MW
234,MW4,UD,A,3,20191114,MW
235,MW4,SH,B,1,20191114,MW
236,MW4,SH,B,2,20191114,MW
237,MW4,SH,B,3,20191114,MW
238,MW4,CV,B,1,20191114,MW
239,MW4,CV,B,2,20191114,MW
240,MW4,CV,B,3,20191114,MW
241,MW4,UD,B,1,20191114,MW
242,MW4,UD,B,2,20191114,MW
243,MW4,UD,B,3,20191114,MW
244,RR3,CV,A,1,20200920,RR
245,RR3,CV,A,2,20200920,RR
246,RR3,CV,A,3,20200920,RR
247,RR3,CV,B,1,20200920,RR
248,RR3,CV,B,2,20200920,RR
249,RR3,CV,B,3,20200920,RR
250,RR3,SH,B,1,20200921,RR
251,RR3,SH,B,2,20200921,RR
252,RR3,SH,B,3,20200921,RR
253,RR5,UD,B,1,20200921,RR
254,RR5,UD,B,2,20200921,RR
255,RR5,UD,B,3,20200921,RR
256,RR3,SH,A,1,20200921,RR
257,RR3,SH,A,2,20200921,RR
