plate_id,letter,1,2,3,4,5,6,7,8,9,10,11,12
,F,ddi_blank,ddi_blank,ddi_blank,271,271,271,279,279,279,287,287,287
,G,100,100,100,272,272,272,280,280,280,288,288,288
,H,101,101,101,273,273,273,281,281,281,,,
,,,,,,,,,,,,,
20210728_plate1,id,1,2,3,4,5,6,7,8,9,10,11,12
,A,rgt_blank,rgt_blank,rgt_blank,291,291,291,299,299,299,307,307,307
,B,0.005_M_std,0.005_M_std,0.005_M_std,292,292,292,300,300,300,308,308,308
,C,0.01_M_std,0.01_M_std,0.01_M_std,293,293,293,301,301,301,309,309,309
,D,0.015_M_std,0.015_M_std,0.015_M_std,294,294,294,302,302,302,310,310,310
,E,0.02_M_std,0.02_M_std,0.02_M_std,295,295,295,303,303,303,311,311,311
,F,ddi_blank,ddi_blank,ddi_blank,296,296,296,304,304,304,312,312,312
,G,289,289,289,297,297,297,305,305,305,313,313,313
,H,290,290,290,298,298,298,306,306,306,314,314,314
,,,,,,,,,,,,,
20210728_plate2,id,1,2,3,4,5,6,7,8,9,10,11,12
,A,rgt_blank,rgt_blank,rgt_blank,317,318,319,324,324,324,332,332,332
,B,0.005_M_std,0.005_M_std,0.005_M_std,soil_std,soil_std,soil_std,325,325,325,333,333,333
,C,0.01_M_std,0.01_M_std,0.01_M_std,318,318,318,326,326,326,334,334,334
,D,0.015_M_std,0.015_M_std,0.015_M_std,319,319,319,327,327,327,335,335,335
,E,0.02_M_std,0.02_M_std,0.02_M_std,320,320,320,328,328,328,336,336,336
,F,ddi_blank,ddi_blank,ddi_blank,321,321,321,329,329,329,337,337,337
,G,315,315,315,322,322,322,330,330,330,338,338,338
,H,316,316,316,323,323,323,331,331,331,,,
,,,,,,,,,,,,,
20210707_plate1,id,1,2,3,4,5,6,7,8,9,10,11,12
,A,rgt_blank,rgt_blank,rgt_blank,182,182,182,190,190,190,213,213,213
,B,0.005_M_std,0.005_M_std,0.005_M_std,183,183,183,109,109,109,214,214,214
,C,0.01_M_std,0.01_M_std,0.01_M_std,184,184,184,139,139,139,215,215,215
,D,0.015_M_std,0.015_M_std,0.015_M_std,185,185,185,209,209,209,216,216,216
,E,0.02_M_std,0.02_M_std,0.02_M_std,186,186,186,210,210,210,217,217,217
,F,ddi_blank,ddi_blank,ddi_blank,187,187,187,211,211,211,219,219,219
,G,180,180,180,188,188,188,212,212,212,218,218,218
,H,181,181,181,189,189,189,soil_std1,soil_std1,soil_std1,220,220,220
,,,,,,,,,,,,,
20210707_plate2,id,1,2,3,4,5,6,7,8,9,10,11,12
,A,rgt_blank,rgt_blank,rgt_blank,223,223,223,231,231,231,239,239,239
,B,0.005_M_std,0.005_M_std,0.005_M_std,224,224,224,232,232,232,240,240,240
,C,0.01_M_std,0.01_M_std,0.01_M_std,225,225,225,233,233,233,241,241,241
,D,0.015_M_std,0.015_M_std,0.015_M_std,227,227,227,234,234,234,242,242,242
,E,0.02_M_std,0.02_M_std,0.02_M_std,226,226,226,235,235,235,243,243,243
,F,ddi_blank,ddi_blank,ddi_blank,228,228,228,236,236,236,soil_std2,soil_std2,soil_std2
,G,221,221,221,229,229,229,237,237,237,244,244,244
,H,222,222,222,230,230,230,238,238,238,245,245,245
,,,,,,,,,,,,,
20210707_plate3,id,1,2,3,4,5,6,7,8,9,10,11,12
,A,rgt_blank,rgt_blank,rgt_blank,248,248,248,256,256,256,264,264,264
,B,0.005_M_std,0.005_M_std,0.005_M_std,249,249,249,257,257,257,265,265,265
,C,0.01_M_std,0.01_M_std,0.01_M_std,250,250,250,258,258,258,266,266,266
,D,0.015_M_std,0.015_M_std,0.015_M_std,251,251,251,259,259,259,267,267,267
,E,0.02_M_std,0.02_M_std,0.02_M_std,252,252,252,260,260,260,268,268,268
,F,ddi_blank,ddi_blank,ddi_blank,253,253,253,261,261,261,269,269,269
,G,246,246,246,254,254,254,262,262,262,soil_std3,soil_std3,soil_std3
,H,247,247,247,255,255,255,263,263,263,219_redo,219_redo,219_redo
,,,,,,,,,,,,,
20211217_plate1,id,1,2,3,4,5,6,7,8,9,10,11,12
,A,rgt_blank,rgt_blank,rgt_blank,390,390,390,398,398,398,406,406,406
,B,0.005_M_std,0.005_M_std,0.005_M_std,391,391,391,399,399,399,407,407,407
,C,0.01_M_std,0.01_M_std,0.01_M_std,392,392,392,400,400,400,408,408,408
,D,0.015_M_std,0.015_M_std,0.015_M_std,393,393,393,401,401,401,409,409,409
,E,0.02_M_std,0.02_M_std,0.02_M_std,394,394,394,402,402,402,410,410,410
,F,ddi_blank,ddi_blank,ddi_blank,395,395,395,403,403,403,411,411,411
,G,soil_std,soil_std,soil_std,396,396,396,404,404,404,412,412,412
,H,389,389,389,397,397,397,405,405,405,413,413,413
,,,,,,,,,,,,,
20211220_plate1,id,1,2,3,4,5,6,7,8,9,10,11,12
,A,rgt_blank,rgt_blank,rgt_blank,415,415,415,423,423,423,431,431,431
,B,0.005_M_std,0.005_M_std,0.005_M_std,416,416,416,424,424,424,432,432,432
,C,0.01_M_std,0.01_M_std,0.01_M_std,417,417,417,425,425,425,433,433,433
,D,0.015_M_std,0.015_M_std,0.015_M_std,418,418,418,426,426,426,434,434,434
,E,0.02_M_std,0.02_M_std,0.02_M_std,419,419,419,427,427,427,435,435,435
,F,ddi_blank,ddi_blank,ddi_blank,420,420,420,428,428,428,436,436,436
,G,soil_std,soil_std,soil_std,421,421,421,429,429,429,437,437,437
,H,414,414,414,422,422,422,430,430,430,,,
,,,,,,,,,,,,,
20211220_plate2,id,1,2,3,4,5,6,7,8,9,10,11,12
,A,rgt_blank,rgt_blank,rgt_blank,439,439,439,447,447,447,455,455,455
,B,0.005_M_std,0.005_M_std,0.005_M_std,440,440,440,448,448,448,456,456,456
,C,0.01_M_std,0.01_M_std,0.01_M_std,441,441,441,449,449,449,457,457,457
,D,0.015_M_std,0.015_M_std,0.015_M_std,442,442,442,450,450,450,458,458,458
,E,0.02_M_std,0.02_M_std,0.02_M_std,443,443,443,451,451,451,459,459,459
,F,soil_std,soil_std,soil_std,444,444,444,452,452,452,460,460,460
,G,438,438,438,445,445,445,453,453,453,461,461,461
,H,ddi_blank,ddi_blank,ddi_blank,446,446,446,454,454,454,soil_std1,soil_std2,soil_std3
,,,,,,,,,,,,,
20211221_plate1,id,1,2,3,4,5,6,7,8,9,10,11,12
,A,rgt_blank,rgt_blank,rgt_blank,487,487,487,345,345,345,353,353,353
,B,0.005_M_std,0.005_M_std,0.005_M_std,488,488,488,346,346,346,354,354,354
,C,0.01_M_std,0.01_M_std,0.01_M_std,339,339,339,347,347,347,355,355,355
,D,0.015_M_std,0.015_M_std,0.015_M_std,340,340,340,348,348,348,356,356,356
,E,0.02_M_std,0.02_M_std,0.02_M_std,341,341,341,349,349,349,357,357,357
,F,ddi_blank,ddi_blank,ddi_blank,342,342,342,350,350,350,358,358,358
,G,soil_std2,soil_std2,soil_std2,343,343,343,351,351,351,359,359,359
,H,486,486,486,344,344,344,352,352,352,410_redo,410_redo,410_redo
,,,,,,,,,,,,,
20211221_plate2,id,1,2,3,4,5,6,7,8,9,10,11,12
,A,rgt_blank,rgt_blank,rgt_blank,463,463,463,471,471,471,479,479,479
,B,0.005_M_std,0.005_M_std,0.005_M_std,464,464,464,472,472,472,480,480,480
,C,0.01_M_std,0.01_M_std,0.01_M_std,465,465,465,473,473,473,481,481,481
,D,0.015_M_std,0.015_M_std,0.015_M_std,466,466,466,474,474,474,482,482,482
,E,0.02_M_std,0.02_M_std,0.02_M_std,467,467,467,475,475,475,483,483,483
,F,ddi_blank,ddi_blank,ddi_blank,468,468,468,476,476,476,484,484,484
,G,,,,469,469,469,477,477,477,485,485,485
,H,462,462,462,470,470,470,478,478,478,,,
,,,,,,,,,,,,,
plate1_20211231,id,1,2,3,4,5,6,7,8,9,10,11,12
,A,rgt_blank,rgt_blank,rgt_blank,362,362,362,370,370,370,378,378,378
,B,0.005_M_std,0.005_M_std,0.005_M_std,363,363,363,371,371,371,379,379,379
,C,0.01_M_std,0.01_M_std,0.01_M_std,364,364,364,372,372,372,380,380,380
,D,0.015_M_std,0.015_M_std,0.015_M_std,365,365,365,373,373,373,381,381,381
,E,0.02_M_std,0.02_M_std,0.02_M_std,366,366,366,374,374,374,382,382,382
,F,,,,367,367,367,375,375,375,383,383,383
,G,360,360,360,368,368,368,376,376,376,ddi_blank,ddi_blank,ddi_blank
,H,361,361,361,369,369,369,377,377,377,,,
,,,,,,,,,,,,,
plate2_20211231,id,1,2,3,4,5,6,7,8,9,10,11,12
,A,rgt_blank,rgt_blank,rgt_blank,385,385,385,SAA-5M,SAA-5M,SAA-5M,SAA-13M,SAA-13M,SAA-13M
,B,0.005_M_std,0.005_M_std,0.005_M_std,386,386,386,SAA-6M,SAA-6M,SAA-6M,SAA-14M,SAA-14M,SAA-14M
,C,0.01_M_std,0.01_M_std,0.01_M_std,387,387,387,SAA-7M,SAA-7M,SAA-7M,SAA-15M,SAA-15M,SAA-15M
,D,0.015_M_std,0.015_M_std,0.015_M_std,388,388,388,SAA-8M,SAA-8M,SAA-8M,SAA-16M,SAA-16M,SAA-16M
,E,0.02_M_std,0.02_M_std,0.02_M_std,SAA-1M,SAA-1M,SAA-1M,SAA-9M,SAA-9M,SAA-9M,SAA-17M,SAA-17M,SAA-17M
,F,ddi_blank,ddi_blank,ddi_blank,SAA-2M,SAA-2M,SAA-2M,SAA-10M,SAA-10M,SAA-10M,SAA-18M,SAA-18M,SAA-18M
,G,soil_std,soil_std,soil_std,SAA-3M,SAA-3M,SAA-3M,SAA-11M,SAA-11M,SAA-11M,SAA-19M,SAA-19M,SAA-19M
,H,384,384,384,SAA-4M,SAA-4M,SAA-4M,SAA-12M,SAA-12M,SAA-12M,SAA-20M,SAA-20M,SAA-20M
,,,,,,,,,,,,,
plate3_20211231,id,1,2,3,4,5,6,7,8,9,10,11,12
,A,rgt_blank,rgt_blank,rgt_blank,SAA-SH1,SAA-SH1,SAA-SH1,SAA-BM3,SAA-BM3,SAA-BM3,,,
,B,0.005_M_std,0.005_M_std,0.005_M_std,SAA-SH2,SAA-SH2,SAA-SH2,,,,,,
,C,0.01_M_std,0.01_M_std,0.01_M_std,SAA-SH3,SAA-SH3,SAA-SH3,,,,,,
,D,0.015_M_std,0.015_M_std,0.015_M_std,SAA-CV1,SAA-CV1,SAA-CV1,,,,,,
,E,0.02_M_std,0.02_M_std,0.02_M_std,SAA-CV2,SAA-CV2,SAA-CV2,,,,,,
,F,ddi_blank,ddi_blank,ddi_blank,SAA-CV3,SAA-CV3,SAA-CV3,,,,,,
