weigh_date,sample_id,mass,run_date ,person
20210723,324,2.54,20210728,HB
20210723,325,2.47,20210728,HB
20210723,326,2.48,20210728,HB
20210723,327,2.48,20210728,HB
20210723,328,2.52,20210728,HB
20210723,329,2.49,20210728,HB
20210723,330,2.54,20210728,HB
20210723,331,2.48,20210728,HB
20210723,332,2.47,20210728,HB
20210723,333,2.52,20210728,HB
20210723,334,2.48,20210728,HB
20210723,335,2.46,20210728,HB
20210723,336,2.51,20210728,HB
20210723,337,2.51,20210728,HB
20210723,338,2.48,20210728,HB
20210603,180,2.48,20210707,HB
20210603,181,2.53,20210707,HB
20210603,182,2.48,20210707,HB
20210603,183,2.48,20210707,HB
20210603,184,2.55,20210707,HB
20210603,185,2.48,20210707,HB
20210603,186,2.52,20210707,HB
20210603,187,2.49,20210707,HB
20210603,188,2.5,20210707,HB
20210603,189,2.51,20210707,HB
20210603,190,2.54,20210707,HB
20210603,209,2.54,20210707,HB
20210603,210,2.53,20210707,HB
20210603,211,2.46,20210707,HB
20210603,212,2.53,20210707,HB
20210603,213,2.53,20210707,HB
20210603,214,2.52,20210707,HB
20210603,215,2.47,20210707,HB
20210603,216,2.52,20210707,HB
20210603,217,2.49,20210707,HB
20210603,218,2.47,20210707,HB
20210603,219,2.54,20210707,HB
20210603,220,2.48,20210707,HB
20210603,221,2.54,20210707,HB
20210603,222,2.49,20210707,HB
20210603,223,2.48,20210707,HB
20210603,224,2.53,20210707,HB
20210603,225,2.52,20210707,HB
20210603,226,2.55,20210707,HB
20210603,227,2.47,20210707,HB
20210603,228,2.5,20210707,HB
20210603,229,2.52,20210707,HB
20210603,230,2.53,20210707,HB
20210603,231,2.54,20210707,HB
20210603,232,2.51,20210707,HB
20210603,233,2.5,20210707,HB
20210603,234,2.49,20210707,HB
20210603,235,2.5,20210707,HB
20210603,236,2.55,20210707,HB
20210603,237,2.49,20210707,HB
20210603,238,2.49,20210707,HB
20210603,239,2.48,20210707,HB
20210603,240,2.47,20210707,HB
20210603,241,2.48,20210707,HB
20210603,242,2.5,20210707,HB
20210603,243,2.49,20210707,HB
20210603,109,2.55,20210707,HB
20210603,139,2.49,20210707,HB
20210327,157,2.49,20210331,EL
20210327,158,2.47,20210331,EL
20210327,159,2.48,20210331,EL
20210327,160,2.52,20210331,EL
20210327,161,2.53,20210331,EL
20210327,162,2.47,20210331,EL
20210327,163,2.48,20210331,EL
20210327,164,2.54,20210331,EL
20210327,165,2.46,20210331,EL
20210327,166,2.53,20210331,EL
20210327,167,2.5,20210331,EL
20210327,168,2.52,20210331,EL
20210327,169,2.53,20210331,EL
